Nombre,Último,% Dif.,Máximo,Mínimo,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,5500","3,38%","140,5500","136,2000",117.698,"16.435,81",21/07/2023,Cierre
ACCIONA ENER,"28,9200","-0,41%","29,1000","28,7000",451.620,"13.051,64",21/07/2023,Cierre
ACERINOX,"9,9020","-1,28%","10,0050","9,7720",820.433,"8.099,12",21/07/2023,Cierre
ACS,"30,6600","-0,45%","30,8500","30,5700",503.526,"15.457,84",21/07/2023,Cierre
AENA,"143,9500","0,00%","144,4000","142,6500",138.125,"19.927,40",21/07/2023,Cierre
AMADEUS,"67,5000","1,08%","67,5000","66,1600",405.741,"27.254,48",21/07/2023,Cierre
ARCELORMIT.,"24,8250","-1,57%","25,2050","24,6250",277.187,"6.879,60",21/07/2023,Cierre
B.SANTANDER,"3,5285","0,10%","3,5475","3,4730",28.181.701,"99.336,82",21/07/2023,Cierre
BA.SABADELL,"1,1235","-0,27%","1,1380","1,1145",21.674.891,"24.118,94",21/07/2023,Cierre
BANKINTER,"6,0280","1,31%","6,0280","5,9220",4.467.608,"26.820,79",21/07/2023,Cierre
BBVA,"7,1260","-0,95%","7,1900","7,0620",10.190.633,"72.696,49",21/07/2023,Cierre
CAIXABANK,"3,8090","-0,37%","3,8460","3,7700",9.204.545,"35.074,81",21/07/2023,Cierre
CELLNEX,"36,7600","0,71%","36,7600","36,0700",702.431,"25.676,49",21/07/2023,Cierre
ENAGAS,"16,3500","0,55%","16,3500","16,2300",652.558,"10.646,31",21/07/2023,Cierre
ENDESA,"19,8450","1,17%","19,8750","19,6700",923.680,"18.296,71",21/07/2023,Cierre
FERROVIAL SE,"30,1200","0,10%","30,1700","29,8700",707.667,"21.266,76",21/07/2023,Cierre
FLUIDRA,"17,3800","1,11%","17,3800","17,0900",301.418,"5.209,05",21/07/2023,Cierre
GRIFOLS CL.A,"13,3600","-2,48%","13,7200","13,1700",1.296.149,"17.397,88",21/07/2023,Cierre
IAG,"1,7955","0,59%","1,8080","1,7820",5.049.182,"9.073,78",21/07/2023,Cierre
IBERDROLA,"11,5250","1,45%","11,5350","11,3850",8.798.620,"100.929,60",21/07/2023,Cierre
INDITEX,"34,8000","1,22%","34,8100","34,2900",1.856.933,"64.312,53",21/07/2023,Cierre
INDRA A,"12,6900","0,24%","12,6900","12,4600",574.294,"7.246,41",21/07/2023,Cierre
INM.COLONIAL,"5,7750","0,17%","5,7900","5,7300",968.758,"5.583,34",21/07/2023,Cierre
LOGISTA,"24,7800","-0,80%","25,4200","24,3800",238.130,"5.902,10",21/07/2023,Cierre
MAPFRE,"1,8470","0,38%","1,8580","1,8350",1.998.536,"3.688,04",21/07/2023,Cierre
MELIA HOTELS,"6,4250","-0,23%","6,4900","6,3800",491.112,"3.160,27",21/07/2023,Cierre
MERLIN,"8,5050","0,47%","8,5300","8,4450",488.064,"4.146,15",21/07/2023,Cierre
NATURGY,"27,5200","1,33%","27,5200","27,1800",248.617,"6.827,24",21/07/2023,Cierre
REDEIA,"15,4400","0,72%","15,4400","15,3150",1.048.401,"16.187,04",21/07/2023,Cierre
REPSOL,"13,5200","1,65%","13,5350","13,2850",11.806.227,"158.414,93",21/07/2023,Cierre
ROVI,"42,0000","-1,08%","42,5000","41,7400",87.511,"3.673,87",21/07/2023,Cierre
SACYR,"3,0280","-0,20%","3,0460","3,0120",1.011.364,"3.065,22",21/07/2023,Cierre
SOLARIA,"14,4250","-0,17%","14,6050","14,2650",608.928,"8.779,68",21/07/2023,Cierre
TELEFONICA,"3,7260","1,00%","3,7300","3,6740",11.650.665,"43.285,35",21/07/2023,Cierre
UNICAJA,"1,0090","-0,59%","1,0160","0,9990",3.542.471,"3.577,45",21/07/2023,Cierre
